,name,type,identifier
573,-16,gene,['NCBIGene:537']
574,defect embryogenesis,disease,['mesh:D064793']
575,Histone deacetylase,gene,['NCBIGene:3065']
576,testicular atrophy,disease,['mesh:D005058']
577,testicular,disease,['mesh:D013733']
578,short-chain fatty acids,chemical,['mesh:D005232']
579,hydroxamic acids,chemical,['mesh:D006877']
580,benzamides,chemical,['mesh:D001549']
581,epoxides,chemical,['CHEBI:32955']
582,HDAC,gene,['NCBIGene:9734']
583,histone,gene,['NCBIGene:54145']
584,spermatocyte depletion,disease,['mesh:D009845']
585,MAA,chemical,['CHEBI:35738']
586,2-Methoxyacetic acid,chemical,['mesh:C013598']
587,liver inflammation,disease,['mesh:D006505']
588,sugars,chemical,['mesh:D000073893']
589,follicular atresia,disease,['mesh:D000858']
590,Gastric ulcer,disease,['mesh:D013276']
591,CYP7B,gene,['NCBIGene:9420']
592,pregnenolone,chemical,['mesh:D011284']
593,D2 receptorwhich,gene,['NCBIGene:1813']
594,azole,chemical,['CHEBI:19203']
595,cytochromeP450s,gene,['NCBIGene:29785']
596,7-hydroxypregnenolone,chemical,['mesh:C495856']
597,fungus infection,disease,['mesh:D009181']
598,cytochrome P450 enzymes,gene,['NCBIGene:4051']
599,cytochrome,gene,['NCBIGene:54205']
600,P450s,gene,['NCBIGene:1555']
601,depression,disease,['mesh:D009497']
602,PTGS2,gene,['NCBIGene:5743']
603,NFE2,gene,['NCBIGene:4778']
604,Mu Opioid Receptor,gene,['NCBIGene:4988']
605,opioid receptors,gene,['NCBIGene:11054']
606,endorphins,gene,['NCBIGene:5443']
607,G proteins,gene,['NCBIGene:9567']
608,Ca,chemical,['CHEBI:39099']
609,Serotonin 1A Receptor,gene,['NCBIGene:3350']
610,Serotonin receptors,gene,['NCBIGene:3359']
611,GPCRs,gene,"['NCBIGene:8322', '23566', '222545', '165140', '59352', '259249', '134391', '117196', '117195', '441931', '442206']"
612,Liver Hemangiosarcoma,disease,['mesh:D006394']
613,lysyl,chemical,['CHEBI:32568']
614,lysyl oxidase,gene,['NCBIGene:4015']
615,dithiocarbamates,chemical,['CHEBI:38129']
616,thiram,chemical,['mesh:D013893']
617,ziram,chemical,['mesh:D015039']
618,maneb,chemical,['mesh:D008344']
619,NaDTMC,chemical,['mesh:C071798']
620,Notochord malformation,disease,"['mesh:D002817', 'mim:215400']"
621,"3,5-dichlorophenol",chemical,['mesh:C116190']
622,mitochondrial DNA polymerase gamma,gene,['NCBIGene:5428']
623,Nucleoside,chemical,['mesh:D009705']
624,nucleos(t)ide,chemical,['CHEBI:33252']
625,viral infections,disease,['mesh:D014777']
626,chronic Hepatitis B,disease,['mesh:D019694']
627,reverse transcriptase,gene,['NCBIGene:100616496']
628,viral DNA polymerases,gene,"['NCBIGene:105376906', '100862688', '100616102']"
629,peripheral neuropathy,disease,['mesh:D010523']
630,myopathy,disease,['mesh:D009135']
631,lactic acidosis,disease,['mesh:D000140']
632,acute and chronic kidney injury,disease,['mesh:D007676']
633,OAT1,gene,['NCBIGene:3777']
634,OAT3,gene,['NCBIGene:9376']
635,proximal tubule cell toxicity,disease,"['mesh:D005198', 'mim:134600']"
636,aminoglycosides,chemical,['mesh:D000617']
637,polymyxins,chemical,['mesh:D011113']
638,Cd,chemical,['CHEBI:22977']
639,metallothionine,chemical,['mesh:D005278']
640,lysosomal enzymes,gene,['NCBIGene:3988']
641,haloalkenes,chemical,['CHEBI:5610']
642,trichloroethylene,chemical,['mesh:D014241']
643,tetrachloroethylene,chemical,['mesh:D013750']
644,"hexachloro-1,3-butadiene",chemical,['mesh:C001335']
645,chloroform,chemical,['mesh:D002725']
646,quinones,chemical,['mesh:D011809']
647,hydroquinone,chemical,['mesh:C031927']
648,bromobenzene,chemical,['mesh:C032036']
649,4-aminophenol,chemical,['mesh:C026729']
650,cephalosporins,chemical,['mesh:D002511']
651,"N-(3,5-dichlorophenyl)succinimide",chemical,['mesh:C007352']
652,creatinine,chemical,['mesh:D003404']
653,urea,chemical,['mesh:D014508']
654,nitrogen,chemical,['mesh:D009584']
655,food allergy,disease,['mesh:D005512']
656,respiratory sensitization,disease,['mesh:D012130']
657,allergies,disease,['mesh:D006967']
658,immunoglobulin E,gene,['NCBIGene:3497']
659,IgE-mediated allergy,disease,['mesh:D006969']
660,food sensitization,disease,['mesh:D000073923']
661,CYP2E1,gene,['NCBIGene:1571']
662,Acetaldehyde,chemical,['mesh:D000079']
663,ethanol,chemical,['mesh:D000431']
664,MDA,chemical,['CHEBI:32506']
665,4-hydroxynonenal,chemical,['CHEBI:58968']
666,heart failure,disease,['mesh:D006333']
667,L-type calcium channels,gene,['NCBIGene:54499']
668,LTCCs,gene,['NCBIGene:123096']
669,hERG,gene,['NCBIGene:3757']
670,long QT syndrome,disease,"['mesh:C566505', 'mim:609621']"
671,torsades de pointes arrhythmia,disease,['mesh:D016171']
672,adenosine triphosphate,chemical,['mesh:D000255']
673,adenosine diphosphate,chemical,['mesh:D000244']
674,ADP,chemical,['CHEBI:73342']
675,diabetes,disease,['mesh:D003920']
676,metabolic disorders,disease,['mesh:D008659']
677,growth arrest,disease,['mesh:D006130']
678,developmental abnormalities,disease,['mesh:D002658']
679,Na-K ATPase,gene,['NCBIGene:476']
680,VTG,chemical,['mesh:D020888']
681,mitochondrial complexes,gene,['NCBIGene:55972']
682,"I,II,III,IV",gene,"['NCBIGene:27090', '8114']"
683,Histone deacetylases,gene,['NCBIGene:9759']
684,valproic acid,chemical,['CHEBI:39867']
685,craniofacial deformities,disease,['mesh:D019465']
686,neural tube defects,disease,['mesh:D016135']
687,FS,disease,"['mesh:D052159', 'mim:136680']"
688,IKK complex,gene,['NCBIGene:9641']
689,TNFalpha,gene,['NCBIGene:7124']
690,TNF-receptor,gene,['NCBIGene:7132']
691,Caspase 8,gene,['NCBIGene:841']
692,caspase 3,gene,['NCBIGene:836']
693,liver failure,disease,['mesh:D017093']
694,sensory axonal peripheral neuropathy,disease,"['mim:118200', 'mesh:D002607']"
695,diketone,chemical,['CHEBI:46640']
696,diketone-induced bronchiolitis obliterans,disease,['mesh:D001989']
697,BO,disease,"['mesh:C537415', 'mim:166700']"
698,diacetyl,chemical,['mesh:D003931']
699,arginine,chemical,['mesh:D001120']
700,wheezing,disease,['mesh:D012135']
701,shortness of breath,disease,['mesh:D001049']
702,organophosphate,chemical,['mesh:D010755']
703,Cholinesterase,gene,['NCBIGene:590']
704,Carbamate,chemical,['CHEBI:28616']
705,brain damage,disease,['mesh:D001930']
706,(,chemical,['mesh:C060185']
707,UPR,gene,['NCBIGene:139596']
708,CHOP,gene,['NCBIGene:1649']
709,Mitochondrial complex III,gene,['NCBIGene:4537']
710,"17-hydrolase/C 10,20-lyase",gene,['NCBIGene:1586']
711,cryptorchidism,disease,"['mim:219050', 'mesh:D003456']"
712,17-hydrolase,gene,['NCBIGene:94274']
713,"C 10,20-lyase",gene,['NCBIGene:1583']
714,7-hydroxylase,gene,['NCBIGene:1581']
715,17-OH-pregnenolone,chemical,['mesh:D006907']
716,17-OH-progesterone,chemical,['CHEBI:17252']
717,dehydroepiandrosterone,chemical,['mesh:D003687']
718,androstenediol,chemical,['mesh:D015114']
719,conazoles,chemical,['CHEBI:60593']
720,CYP51,gene,['NCBIGene:1595']
721,3-oxo-5-steroid,chemical,['CHEBI:47907']
722,3-oxo-&Delta;4-steroid,chemical,['CHEBI:47909']
723,finasteride,chemical,['mesh:D018120']
724,dutasteride,chemical,['mesh:D000068538']
725,epristeride,chemical,['mesh:C072547']
726,3-androstanediol,chemical,['CHEBI:36713']
727,3-diol,chemical,['CHEBI:23824']
728,17-estradiol,chemical,['CHEBI:17160']
729,androstenedione,chemical,['mesh:D000735']
730,progesterone,chemical,['mesh:D011374']
731,cortisol,chemical,['mesh:D006854']
732,aldosterone,chemical,['mesh:D000450']
733,Mitochondrial ATP synthase,gene,['NCBIGene:27109']
734,tyrosinase,gene,['NCBIGene:7299']
735,DOPAquinone,chemical,['mesh:C035157']
736,L DOPA quinone,chemical,['CHEBI:57924']
737,TYR,chemical,['CHEBI:46857']
738,depigmentation,disease,['mesh:D017496']
739,retinaldehyde,chemical,['mesh:D012172']
740,retinaldehyde dehydrogenase,gene,['NCBIGene:216']
741,Visual impairment,disease,['mesh:D014786']
742,retinol,chemical,['mesh:D014801']
743,retinoic acid,chemical,['CHEBI:26536']
744,cellular,gene,['NCBIGene:1057']
745,RA,chemical,['CHEBI:33325']
746,RA-binding protein,gene,['NCBIGene:1381']
747,retinoic acid receptors,gene,['NCBIGene:10966']
748,RARs,gene,['NCBIGene:5917']
749,retinoid,chemical,['CHEBI:4913']
750,Disulphiram,chemical,['mesh:D004221']
751,Citral,chemical,['CHEBI:23316']
752,Paclobutrazol,chemical,['mesh:C053370']
753,Diethylaminobenzaldehyde,chemical,['mesh:C055506']
754,Nitrofen,chemical,['mesh:C007350']
755,4-biphenyl carboxylic acid,chemical,['CHEBI:31597']
756,Bisdiamine,chemical,['mesh:C002491']
757,porcupine,gene,['NCBIGene:64840']
758,beta-catenin,gene,['NCBIGene:1499']
759,GC,disease,"['mesh:C535477', 'mim:121820']"
760,Cystathionine,chemical,['mesh:D003540']
761,Cystathionine Beta synthase,gene,['NCBIGene:875']
762,Hcy,chemical,['CHEBI:17588']
763,methionine,chemical,['CHEBI:16643']
764,methionine synthase,gene,['NCBIGene:4548']
765,betaine,chemical,['mesh:D001622']
766,betaine homocysteine methyltransferase,gene,['NCBIGene:635']
767,hyperhomocysteinemia,disease,['mesh:D020138']
768,hydrogen sulfide,chemical,['mesh:D006862']
769,H2S,chemical,['CHEBI:16136']
770,deficiency of CBS,disease,"['mesh:D006712', 'mim:236200']"
771,Aminooxyacetic acid,chemical,['mesh:D000625']
772,cystathione,chemical,['CHEBI:17755']
773,SBS,gene,['NCBIGene:1540']
774,superoxide dismutase,gene,['NCBIGene:6647']
775,peroxidase,gene,['NCBIGene:137902']
776,C-reactive protein,gene,['NCBIGene:1401']
777,Frustrated phagocytosis-induced lung cancer,disease,['mesh:D002289']
778,lung cancer,disease,"['mim:211980', 'mesh:D008175']"
779,pulmonary inflammation,disease,['mesh:D011014']
780,TBX1,gene,['NCBIGene:6899']
781,congenital cardiac conotruncal anomalies,disease,['mesh:C535464']
782,LABC complex,gene,['NCBIGene:100506885']
783,enzyme 5-reductase,gene,['NCBIGene:6716']
784,LABC,gene,['NCBIGene:7462']
785,CYP enzymes,gene,['NCBIGene:9360']
786,shortAGDin,disease,['mesh:C537327']
787,Luteinizing hormone receptor,gene,"['NCBIGene:960', '3973']"
788,Luteinizing,gene,['NCBIGene:5351']
789,LHR,gene,['NCBIGene:3973']
790,gonadotropins,gene,['NCBIGene:59352']
791,progesterone receptor,gene,['NCBIGene:5241']
792,GnRHR,gene,['NCBIGene:2798']
793,JAK3,gene,['NCBIGene:3718']
794,Immune dysfunction,disease,['mesh:D007154']
795,signal transducer,gene,['NCBIGene:5650']
796,activator of transcription,gene,['NCBIGene:1385']
797,cytokine,gene,['NCBIGene:943']
798,JAK2,gene,['NCBIGene:3717']
799,TYK2,gene,['NCBIGene:7297']
800,STAT2,gene,['NCBIGene:6773']
801,STAT3,gene,['NCBIGene:6774']
802,STAT4,gene,['NCBIGene:6775']
803,STAT5a,gene,['NCBIGene:6776']
804,STAT5b,gene,['NCBIGene:6777']
805,STAT6,gene,['NCBIGene:6778']
806,IL-13,gene,['NCBIGene:3596']
807,IL-21,gene,['NCBIGene:59067']
808,IL-23,gene,['NCBIGene:51561']
809,IL-31,gene,['NCBIGene:386653']
810,thymic stromal lymphopoietin,gene,['NCBIGene:85480']
811,itchiness,disease,['mesh:D011537']
812,pruritic diseases,disease,['mesh:D011536']
813,cytokine genes,gene,['NCBIGene:5307']
814,IL-7,gene,['NCBIGene:3574']
815,IL-9,gene,['NCBIGene:3578']
816,IL-15,gene,['NCBIGene:3600']
817,PF-06651600,chemical,['mesh:C000614924']
818,1792180-81-4,chemical,['mesh:C539455']
819,4-aminopiperidine,chemical,['mesh:C481395']
820,RB1,chemical,['CHEBI:33322']
821,ACE2,gene,['NCBIGene:59272']
822,renin,gene,['NCBIGene:5972']
823,angiotensin,gene,['NCBIGene:183']
824,Ang II,gene,['NCBIGene:285']
825,Ang-(1-7),gene,['NCBIGene:284']
826,type 1 angiotensin receptor,gene,['NCBIGene:185']
827,oxygen deficiency,disease,['mesh:D000860']
828,Angiotensin-converting enzyme,gene,['NCBIGene:1636']
829,ACE2 receptor,gene,['NCBIGene:340485']
830,acute respiratory distress,disease,['mesh:D012128']
831,SARS-CoV,disease,['mesh:D045169']
832,capsid(S) glycoprotein,gene,['NCBIGene:7448']
833,S1,gene,['NCBIGene:5707']
834,S2,gene,"['NCBIGene:5708', '6187']"
835,Furin,gene,['NCBIGene:5045']
836,TMPRSS2,gene,['NCBIGene:7113']
837,human cell surface serine protease,gene,['NCBIGene:2191']
838,serine,chemical,['mesh:D012694']
839,COVID-19shares,disease,['mesh:D000086382']
840,viral capsidin,gene,['NCBIGene:5212']
841,respiratory distress,disease,['mesh:D012127']
842,S-glycoprotein,gene,['NCBIGene:6295']
843,human respiratory coronavirus,disease,['mesh:D018352']
844,AngI,gene,['NCBIGene:10563']
845,11-Ketotestosterone,chemical,['mesh:C003600']
846,11-KT,chemical,['mesh:C016531']
847,per- and polyfluoroalkyl,chemical,['CHEBI:60582']
848,PFAS,chemical,['CHEBI:53371']
849,hydroxyl,chemical,['mesh:D017665']
850,8-oxoguanine,chemical,['CHEBI:44605']
851,8-oxoG,chemical,['mesh:C046215']
852,adenine,chemical,['mesh:D000225']
853,amputated,disease,['mesh:D000673']
854,urothelial toxicity,disease,['mesh:D001745']
855,diuron,chemical,['mesh:D004237']
856,urothelial tumors,disease,"['mim:109800', 'mesh:D001749']"
857,DNA methyltransferase,gene,['NCBIGene:1786']
858,S-adenosylmethionine,chemical,['CHEBI:67040']
859,S,disease,['mesh:C563052']
860,NR,disease,"['mim:310600', 'mesh:C537849']"
861,NR,gene,['NCBIGene:10901']
862,ovarian cycle irregularities,disease,['mesh:D010049']
863,female fertility,disease,['mesh:D007247']
864,PI3K,gene,['NCBIGene:5290']
865,kit-ligand,gene,['NCBIGene:4254']
866,growth differentiation factor 9,gene,['NCBIGene:2661']
867,fadrozole,chemical,['mesh:D017316']
868,letrozole,chemical,['mesh:D000077289']
869,exemestane,chemical,['mesh:C056516']
870,prochloraz,chemical,['mesh:C045362']
871,propiconazole,chemical,['mesh:C045950']
872,C19,chemical,['CHEBI:32928']
873,C18,chemical,['mesh:D044243']
874,Toll-like receptor 4,gene,['NCBIGene:7099']
875,11-Hydroxysteroid,chemical,['CHEBI:36841']
876,11-Hydroxysteroid Dehydrogenase,gene,['NCBIGene:3291']
877,11HSD,gene,['NCBIGene:3290']
878,cortisone,chemical,['mesh:D003348']
879,corticosteroid,chemical,['mesh:D000305']
880,NAD+,chemical,['CHEBI:15846']
881,11 beta -hydroxytestosterone,chemical,['mesh:C037914']
882,11-hydroxylase,gene,['NCBIGene:1584']
883,11-deoxycortisol,chemical,['mesh:D003350']
884,metyrapone,chemical,['mesh:D008797']
885,lysodren,chemical,['mesh:D008939']
886,eomidate,chemical,['mesh:C014539']
887,Chitinase,gene,['NCBIGene:1118']
888,Chitobiase,gene,['NCBIGene:1486']
889,Chitin synthase 1,gene,['NCBIGene:22856']
890,CHS-1,gene,['NCBIGene:1130']
891,N-acetylglucosamine,chemical,['CHEBI:59640']
892,GlcNAc,chemical,['CHEBI:73685']
893,ecdysis,disease,['mesh:D004839']
894,uridine diphosphate,chemical,['mesh:D014530']
895,Sulfonylureareceptor,chemical,['CHEBI:26831']
896,SUR,gene,['NCBIGene:6833']
897,immune mediated and allergic hepatitis,disease,['mesh:D019693']
898,diclofenac,chemical,['mesh:D004008']
899,immune mediated and drug hypersensitivity,disease,['mesh:D063926']
900,quinone imine,chemical,['CHEBI:50193']
901,CYP monooxygenase,gene,['NCBIGene:57404']
902,myeloperoxidases,gene,['NCBIGene:4353']
903,acylglucuronide,chemical,['mesh:C066070']
904,interferon gamma,gene,['NCBIGene:3458']
905,adipocytokine,gene,['NCBIGene:117178']
906,granulomas of the liver,disease,['mesh:D014386']
907,THSD,disease,"['mesh:D013661', 'mim:272800']"
908,THSDCs,chemical,['CHEBI:39330']
909,thyroxine,chemical,['CHEBI:305790']
910,morpholino,chemical,['mesh:D060172']
911,Cytochrome oxidase,gene,"['NCBIGene:6775083', '8923218']"
912,potassium cyanide,chemical,['mesh:D011190']
913,sodium azide,chemical,['mesh:D019810']
914,Photosystem II,gene,['NCBIGene:7385']
915,PSII,gene,['NCBIGene:4716']
916,growth hormone,gene,['NCBIGene:2688']
917,testicular cancer,disease,['mesh:D013736']
918,Sars-CoV-2 spike protein,gene,['NCBIGene:54938']
919,ACE 2 receptors,gene,['NCBIGene:186']
920,Sars,gene,['NCBIGene:6301']
921,acute respiratory infection,disease,['mesh:D012141']
922,prostaglandin E2,chemical,['CHEBI:606564']
923,headache,disease,['mesh:D006261']
924,vomiting,disease,['mesh:D014839']
925,consciousness disorders,disease,['mesh:D003244']
926,viral encephalitis,disease,['mesh:D004671']
927,Spike protein,gene,['NCBIGene:124512']
928,Toll Like Receptor 9,gene,['NCBIGene:54106']
929,Multi Organ Failure,disease,['mesh:D009102']
930,TLR,gene,['NCBIGene:286187']
931,thrombosis,disease,['mesh:D013927']
932,disseminated intravascular coagulation,disease,['mesh:D004211']
933,RNA-dependent RNA polymerase,gene,['NCBIGene:171568']
934,RdRp,gene,['NCBIGene:6510']
935,dysgeusia,disease,['mesh:D004408']
936,taste impairment,disease,['mesh:D013651']
937,Viral spike protein,gene,['NCBIGene:4342']
938,microvascular dysfunction,disease,['mesh:D014652']
939,D1 protein,gene,"['NCBIGene:27241', '25802']"
940,Oxygen-evolving,gene,['NCBIGene:28893']
941,triphenyl phosphate,chemical,['mesh:C005445']
942,C,chemical,['CHEBI:30039']
943,TPP,chemical,['CHEBI:35033']
944,CCND1,gene,['NCBIGene:595']
945,IL1A,gene,['NCBIGene:3552']
946,IL6,gene,['NCBIGene:3569']
947,BAD,gene,['NCBIGene:572']
948,TP53,gene,['NCBIGene:7157']
949,CASP9,gene,['NCBIGene:842']
950,impaired olfactory function,disease,['mesh:D000857']
951,cerebrovascular disease,disease,['mesh:D002561']
952,stroke,disease,"['mesh:D020521', 'mim:606799']"
953,all-trans retinoic acid,chemical,['mesh:D014212']
954,ALDH1A2,gene,['NCBIGene:8854']
955,ALDH1A3,gene,['NCBIGene:220']
956,Fyna,gene,['NCBIGene:2534']
957,Microphthalmos,disease,['mesh:D008850']
958,Src family,gene,['NCBIGene:6714']
959,tyrosine kinase A,gene,['NCBIGene:4914']
960,Plxna2 phosphatase,gene,['NCBIGene:5362']
961,rasl11b,gene,['NCBIGene:65997']
962,eye deformation,disease,['mesh:D005128']
963,Saracatinib,chemical,['mesh:C515233']
964,Mastinib,chemical,['CHEBI:61399']
965,Staurosporine,chemical,['mesh:D019311']
966,Rosmarinic acid,chemical,['mesh:C041376']
967,anti,disease,['mesh:D004342']
968,cardiotoxicity,disease,['mesh:D066126']
969,G protein-coupled estrogen receptor 1,gene,['NCBIGene:2852']
970,mTOR,gene,['NCBIGene:2475']
971,S6K2,gene,['NCBIGene:6199']
972,CPT1A,gene,['NCBIGene:1374']
973,CPT2,gene,['NCBIGene:1376']
974,lipid,disease,['mesh:D052439']
975,liver X receptors,gene,['NCBIGene:9213']
976,periventricular heterotopia,disease,['mesh:D054091']
977,heterotopia,disease,['mesh:D002828']
978,Toll Like Receptor dysregulation,disease,['mesh:D008206']
979,IL1B,gene,['NCBIGene:3553']
980,IL18,gene,['NCBIGene:3606']
981,NLRP3 inflammasome,gene,['NCBIGene:114548']
982,pyroptosis,disease,['mesh:D017441']
983,Graphene,chemical,['mesh:D006108']
984,Triphenyl,chemical,['CHEBI:33080']
985,malignant mesothelioma,disease,"['mesh:C562839', 'mim:156240']"
986,BAP1,gene,['NCBIGene:8314']
987,carbon,chemical,['mesh:D002244']
988,GSK3beta,gene,['NCBIGene:2932']
989,gbx2,gene,['NCBIGene:2637']
990,foxi1,gene,['NCBIGene:2299']
991,six1b,gene,['NCBIGene:317761']
992,eya1,gene,['NCBIGene:2138']
993,MCC dysfunction,disease,['mesh:D000080343']
994,airway diseases,disease,['mesh:D001982']
995,acute renal failure,disease,['mesh:D058186']
996,uranium,chemical,['mesh:D014501']
997,acute,disease,['mesh:D000208']
998,ARNT,gene,['NCBIGene:405']
999,intrahepatic cholestasis,disease,['mesh:D002780']
1000,intestinal,disease,['mesh:D007410']
1001,gastrointestinal disorders,disease,['mesh:D005767']
1002,PARP1,gene,['NCBIGene:142']
1003,AIF,gene,['NCBIGene:9131']
1004,CFTR dysfunction,disease,"['mesh:C567618', 'mim:211400']"
1005,CFTR,gene,['NCBIGene:1080']
1006,ASL,gene,['NCBIGene:435']
1007,cAMP,chemical,['mesh:D000242']
1008,ozone,chemical,['mesh:D010126']
1009,ASL,disease,"['mim:105830', 'mesh:D017204']"
1010,FOXJ1,gene,['NCBIGene:2302']
1011,microvascular injury,disease,['mesh:D057772']
1012,myocardial infarction,disease,"['mesh:D009203', 'mim:608446']"
1013,heart injury,disease,['mesh:D006335']
1014,dysregulation of RAAS,disease,['mesh:D001342']
1015,gut dysbiosis,disease,['mesh:D064806']
1016,tryptophan,chemical,['mesh:D014364']
1017,tryptophan transporter B0AT1,gene,['NCBIGene:11254']
1018,Slc6a19,gene,['NCBIGene:340024']
1019,sporadic,disease,['mesh:D035583']
1020,sAD,disease,"['mim:100800', 'mesh:D000130']"
1021,A-beta,gene,['NCBIGene:8803']
1022,nsps,gene,"['NCBIGene:57142', '6252', '9372', '92521']"
1023,gestational diabetes mellitus,disease,['mesh:D016640']
1024,glucose transporter type 4,gene,['NCBIGene:6517']
1025,Acute Myeloid Leukemia,disease,"['mesh:D015470', 'mim:601626']"
1026,Ionizing Radiation,disease,['mesh:D011832']
1027,sudden cardiac death,disease,['mesh:D016757']
1028,CYP26,gene,['NCBIGene:1592']
1029,fibroblast growth factor,gene,['NCBIGene:2246']
1030,retinol dehydrogenase families,gene,"['NCBIGene:131', '8630']"
1031,zinc,chemical,['CHEBI:30185']
1032,zinc finger proteins 1 and 3,gene,"['NCBIGene:10795', '7551']"
1033,ZIC1,gene,['NCBIGene:7545']
1034,ZIC3,chemical,['CHEBI:27007']
1035,ZIC3,gene,['NCBIGene:7547']
1036,noggin,gene,['NCBIGene:9241']
1037,BMP,gene,['NCBIGene:649']
1038,DLHPs,disease,"['mim:224410', 'mesh:C537998']"
1039,DLHPs,gene,['NCBIGene:112817']
1040,Malfunctioning of sex hormones,disease,['mesh:D020018']
1041,estradiol,chemical,['CHEBI:16469']
1042,estrone,chemical,['mesh:D004970']
1043,clomiphene citrate,chemical,['CHEBI:3753']
1044,Tamoxifen,chemical,['mesh:D013629']
1045,Toremifene,chemical,['mesh:D017312']
1046,prostate cancer,disease,"['mim:176807', 'mesh:D011471']"
1047,microcephaly,disease,['mesh:D008831']
1048,VGSC,gene,['NCBIGene:654']
1049,VGSCs,gene,['NCBIGene:105031671']
1050,kisspeptin,gene,['NCBIGene:3814']
1051,progestin,chemical,['CHEBI:59826']
1052,sodium-dependent phosphate co-transporter,gene,['NCBIGene:6569']
1053,phosphate,chemical,['mesh:D010710']
1054,NF-B,gene,['NCBIGene:4781']
1055,tubular,disease,['mesh:D000077277']
1056,Ceramide,chemical,['CHEBI:52639']
1057,Ceramide synthase,gene,['NCBIGene:83723']
1058,CerS,gene,"['NCBIGene:2657', '10715']"
1059,fumonisin FB1,chemical,['mesh:C056933']
1060,FB1,chemical,['CHEBI:38221']
1061,fumonisins,chemical,['mesh:D037341']
1062,folate,chemical,['CHEBI:62501']
1063,paraoxon,chemical,['mesh:D010261']
1064,ethyl parathion,chemical,['mesh:D010278']
1065,methyl parathion,chemical,['mesh:D008743']
1066,sarin,chemical,['mesh:D012524']
1067,tabun,chemical,['mesh:C009374']
1068,serine esterases,gene,['NCBIGene:1066']
1069,numbness,disease,['mesh:D006987']
1070,dizziness,disease,['mesh:D004244']
1071,burning sensation,disease,['mesh:D010146']
1072,digestive morbidity,disease,['mesh:D004066']
1073,Succinate,chemical,['mesh:D019802']
1074,Succinate dehydrogenase,gene,['NCBIGene:6392']
1075,insulin,gene,['NCBIGene:3630']
1076,thydroid,chemical,['CHEBI:17821']
1077,phthalate,chemical,['CHEBI:17563']
1078,mental impairments,disease,['mesh:D001523']
1079,8 tetrachlorodibenzo-p-dioxin,chemical,['CHEBI:28119']
1080,PCB-126,chemical,['mesh:C023035']
1081,UGT,gene,['NCBIGene:7361']
1082,PCB-169,chemical,['mesh:C027309']
1083,immune and liver defects,disease,['mesh:D007153']
1084,ITE,chemical,['mesh:C005801']
1085,Smoothened receptor,gene,['NCBIGene:6608']
1086,orofacial clefting,disease,"['mesh:C563481', 'mim:166780']"
1087,OFC,disease,['mesh:C566121']
1088,Sonic Hedgehog,gene,['NCBIGene:6469']
1089,Patched1,gene,['NCBIGene:5727']
1090,GLI1/2 transcription factors,gene,['NCBIGene:2736']
1091,GLI1,gene,['NCBIGene:2735']
1092,Fgf10,gene,['NCBIGene:2255']
1093,atherosclerosis,disease,"['mim:108725', 'mesh:D050197']"
1094,low-density lipoprotein,gene,['NCBIGene:3949']
1095,oxidized LDL,gene,['NCBIGene:4973']
1096,collagenase,gene,['NCBIGene:4312']
1097,silica,chemical,['mesh:D012822']
1098,Alcohol dehydrogenase,gene,['NCBIGene:10327']
1099,ADH,gene,['NCBIGene:124']
1100,gynaecological cancers,disease,['mesh:D005833']
1101,estrogen-associated receptor gene,gene,['NCBIGene:2101']
1102,ERR,gene,['NCBIGene:6541']
1103,Vitellogenin mRNA,gene,['NCBIGene:3933']
1104,Doda decarboxylase,gene,['NCBIGene:81889']
1105,"3,4-dihydroxyphenylalanine",chemical,['CHEBI:49168']
1106,DOPA decarboxylase,gene,['NCBIGene:1644']
1107,chitin-binding protein Knickkopf,gene,['NCBIGene:26128']
1108,Knk,gene,['NCBIGene:1378']
1109,molt defects,disease,['mesh:D003117']
1110,S protein subunits,gene,['NCBIGene:5627']
1111,type I interferon,gene,['NCBIGene:3451']
1112,CXCL8,gene,['NCBIGene:3576']
1113,organ failure,disease,['mesh:D012769']
1114,elavl3,gene,['NCBIGene:1995']
1115,mbp,gene,['NCBIGene:4155']
1116,Ra-226,chemical,['mesh:C000615152']
1117,hemocyanin,gene,['NCBIGene:7909']
1118,Ra226,chemical,['mesh:C035279']
1119,SDH,gene,['NCBIGene:6390']
1120,fumarate,chemical,['CHEBI:29806']
1121,SDH deficiencies,disease,"['mesh:C565375', 'mim:252011']"
1122,neuroendocrine tumors,disease,['mesh:D018358']
1123,ubiquinone,chemical,['mesh:D014451']
1124,SDH,disease,['mesh:D006408']
1125,paragangliomas,disease,"['mesh:D010235', 'mim:168000']"
1126,"neuroendocrine tumors of the head and neck, thorax, abdomen and pelvis",disease,['mesh:D006258']
1127,pheochromocytomas,disease,"['mesh:D010673', 'mim:171300']"
1128,tumors of the adrenal medulla,disease,['mesh:D000310']
1129,gastrointestinal stromal tumors,disease,"['mim:606764', 'mesh:D046152']"
1130,SDH-mutated tumors,disease,['mesh:D020295']
1131,hypospadias,disease,['mesh:D007021']
1132,cataracts,disease,['mesh:D002386']
1133,chromosomal aberrations,disease,['mesh:D002869']
1134,blindness,disease,['mesh:D001766']
1135,bone loss,disease,"['mesh:D010024', 'mim:166710']"
1136,vascular remodeling,disease,['mesh:D066253']
1137,/-catenin,gene,"['NCBIGene:1500', '100528016']"
1138,receptor activator of nuclear factor kappa B ligand,gene,['NCBIGene:8600']
1139,bone,disease,['mesh:D001847']
