AOP,ID,s.name,Stressor
Androgen receptor (AR) antagonism leading to short anogenital distance (AGD) in male (mammalian) offspring,306,testosterone,[mesh:D013739]
Bisphenol A analogs induce cellular dysfunction in human trophoblast cells in a thyroid hormone receptor-dependent manner: in silico and in vitro analyses,484,Bisphenol A,[mesh:C006780]
Androgen receptor agonism leading to male-biased sex ratio,376,Androgen,[mesh:D000728]
Androgen receptor agonism leading to male-biased sex ratio,376,steroid,[mesh:D013256]
Histone deacetylase inhibition leads to neural tube defects,275,valproic acid,[CHEBI:39867]
Nicotinic acetylcholine receptor activation contributes to abnormal foraging and leads to colony death/failure 1,77,acetylcholine,[mesh:D000109]
Nicotinic acetylcholine receptor activation contributes to impaired hive thermoregulation and leads to colony loss/failure,79,acetylcholine,[mesh:D000109]
Decrease Glucose oxidase activity contributes to reduction of antiseptic in food and leads to colony loss/failure,86,glucose,[CHEBI:42758]
Nicotinic acetylcholine receptor activation contributes to accumulation of damaged mitochondrial DNA and leads to colony loss/failure,80,acetylcholine,[mesh:D000109]
Anticoagulant rodenticide inhibition of vitamin K epoxide reductase resulting coagulopathy and hemorrhage,187,vitamin K epoxide,[mesh:C016186]
Iodotyrosine deiodinase (IYD) inhibition leading to altered amphibian metamorphosis,188,diiodotyrosine,[CHEBI:15768]
Iodotyrosine deiodinase (IYD) inhibition leading to altered amphibian metamorphosis,188,polybrominated diphenyl ethers,[mesh:D055768]
Iodotyrosine deiodinase (IYD) inhibition leading to altered amphibian metamorphosis,188,iodide,[mesh:D007454]
Iodotyrosine deiodinase (IYD) inhibition leading to altered amphibian metamorphosis,188,polychlorinated biphenyls,[CHEBI:53156]
Iodotyrosine deiodinase (IYD) inhibition leading to altered amphibian metamorphosis,188,iodine,[mesh:D007455]
Iodotyrosine deiodinase (IYD) inhibition leading to altered amphibian metamorphosis,188,Iodotyrosine,[mesh:D007470]
Iodotyrosine deiodinase (IYD) inhibition leading to altered amphibian metamorphosis,188,MIT,[CHEBI:27847]
Type I iodothyronine deiodinase (DIO1) inhibition leading to altered amphibian metamorphosis,189,"5,3-triiodothyronine",[CHEBI:18258]
Type I iodothyronine deiodinase (DIO1) inhibition leading to altered amphibian metamorphosis,189,thyroid hormones,[mesh:D013963]
Type I iodothyronine deiodinase (DIO1) inhibition leading to altered amphibian metamorphosis,189,rT3,[CHEBI:11684]
Type I iodothyronine deiodinase (DIO1) inhibition leading to altered amphibian metamorphosis,189,thyroxine (T4,[mesh:D013974]
Type I iodothyronine deiodinase (DIO1) inhibition leading to altered amphibian metamorphosis,189,iodothyronine,[CHEBI:24864]
Type I iodothyronine deiodinase (DIO1) inhibition leading to altered amphibian metamorphosis,189,triiodothyronine,[mesh:D014284]
Type II iodothyronine deiodinase (DIO2) inhibition leading to altered amphibian metamorphosis,190,"5,3-triiodothyronine",[CHEBI:18258]
Type II iodothyronine deiodinase (DIO2) inhibition leading to altered amphibian metamorphosis,190,iopanoic acid,[mesh:D007480]
Type II iodothyronine deiodinase (DIO2) inhibition leading to altered amphibian metamorphosis,190,DIO2,[mesh:C081554]
Type II iodothyronine deiodinase (DIO2) inhibition leading to altered amphibian metamorphosis,190,thyroid hormones,[mesh:D013963]
Type II iodothyronine deiodinase (DIO2) inhibition leading to altered amphibian metamorphosis,190,thyroxine (T4,[mesh:D013974]
Type II iodothyronine deiodinase (DIO2) inhibition leading to altered amphibian metamorphosis,190,iodothyronine,[CHEBI:24864]
Type III iodotyrosine deiodinase (DIO3) inhibition leading to altered amphibian metamorphosis,191,DIO3,[mesh:C098044]
Type III iodotyrosine deiodinase (DIO3) inhibition leading to altered amphibian metamorphosis,191,thyroid hormones,[mesh:D013963]
Type III iodotyrosine deiodinase (DIO3) inhibition leading to altered amphibian metamorphosis,191,"3,5-triiodothyronine",[CHEBI:28774]
Type III iodotyrosine deiodinase (DIO3) inhibition leading to altered amphibian metamorphosis,191,rT3,[CHEBI:11684]
Type III iodotyrosine deiodinase (DIO3) inhibition leading to altered amphibian metamorphosis,191,thyroxine (T4,[mesh:D013974]
Type III iodotyrosine deiodinase (DIO3) inhibition leading to altered amphibian metamorphosis,191,iodothyronine,[CHEBI:24864]
Type III iodotyrosine deiodinase (DIO3) inhibition leading to altered amphibian metamorphosis,191,Iodotyrosine,[mesh:D007470]
Nicotinic acetylcholine receptor activation contributes to abnormal foraging and leads to colony loss/failure via abnormal role change within caste,88,acetylcholine,[mesh:D000109]
Antagonist binding to PPARα leading to body-weight loss,6,-hydroxybutyrate,[CHEBI:17290]
Antagonist binding to PPARα leading to body-weight loss,6,acetyl-CoA,[mesh:D000105]
Antagonist binding to PPARα leading to body-weight loss,6,ATP,[CHEBI:30616]
Antagonist binding to PPARα leading to body-weight loss,6,fatty acid,[mesh:D005227]
Antagonist binding to PPARα leading to body-weight loss,6,glucose,[CHEBI:42758]
Antagonist binding to PPARα leading to body-weight loss,6,alanine,[mesh:D000409]
Antagonist binding to PPARα leading to body-weight loss,6,glutamine,[mesh:D005973]
Nicotinic acetylcholine receptor activation contributes to abnormal roll change within the worker bee caste leading to colony loss/failure 2,90,acetylcholine,[mesh:D000109]
Aromatase (Cyp19a1) reduction leading to impaired fertility in adult female,7,steroid,[mesh:D013256]
Aromatase (Cyp19a1) reduction leading to impaired fertility in adult female,7,cholesterol,[mesh:D002784]
5-hydroxytryptamine transporter (5-HTT) inhibition leading to population increase,195,serotonin,[CHEBI:350546]
5-hydroxytryptamine transporter (5-HTT) inhibition leading to population increase,195,5-hydroxytryptamine,[mesh:D012701]
Sodium channel inhibition leading to reduced survival,91,acetylcholine,[mesh:D000109]
Sodium channel inhibition leading to reduced survival,91,Sodium,[mesh:D012964]
Sodium channel inhibition leading to reduced survival,91,Calcium,[mesh:D002118]
Sodium channel inhibition leading to reduced survival,91,tetrodotoxin,[mesh:D013779]
Volatile Organic Chemicals Activate TRPA1 Receptor to Induce Sensory Pulmonary Irritation,196,ammonia,[mesh:D000641]
Volatile Organic Chemicals Activate TRPA1 Receptor to Induce Sensory Pulmonary Irritation,196,chlorine,[mesh:D002713]
Volatile Organic Chemicals Activate TRPA1 Receptor to Induce Sensory Pulmonary Irritation,196,hydrochloric acid,[mesh:D006851]
sodium channel inhibition leading to increased predation,93,Sodium,[mesh:D012964]
Sodium channel (Nav1.1) inhibition leading to population decline,197,Sodium,[mesh:D012964]
Sodium channel inhibition leading to congenital malformations,94,Sodium,[mesh:D012964]
Binding to the picrotoxin site of ionotropic GABA receptors leading to epileptic seizures in adult brain,10,GABA,[mesh:D005680]
Binding to the picrotoxin site of ionotropic GABA receptors leading to epileptic seizures in adult brain,10,picrotoxin,[mesh:D010852]
Binding to the picrotoxin site of ionotropic GABA receptors leading to epileptic seizures in adult brain,10,chloride,[CHEBI:15767]
Binding to the picrotoxin site of ionotropic GABA receptors leading to epileptic seizures in adult brain,10,Na+,[CHEBI:29101]
Binding to the picrotoxin site of ionotropic GABA receptors leading to epileptic seizures in adult brain,10,K+,[CHEBI:29103]
Binding to the picrotoxin site of ionotropic GABA receptors leading to epileptic seizures in adult brain,10,Ca2+,[CHEBI:29108]
Binding to the picrotoxin site of ionotropic GABA receptors leading to epileptic seizures in adult brain,10,benzodiazepines,[mesh:D001569]
Binding to the picrotoxin site of ionotropic GABA receptors leading to epileptic seizures in adult brain,10,Cl,[CHEBI:30120]
Binding to the picrotoxin site of ionotropic GABA receptors leading to epileptic seizures in adult brain,10,bicuculline,[mesh:D001640]
Binding to the picrotoxin site of ionotropic GABA receptors leading to epileptic seizures in adult brain,10,barbiturates,[mesh:D001463]
Ether-a-go-go (ERG) voltage-gated potassium channel inhibition leading to reduced survival,95,potassium,[mesh:D011188]
Estrogen receptor activation leading to breast cancer,200,Estrogen,[mesh:D004967]
Estrogen receptor activation leading to breast cancer,200,testosterone,[mesh:D013739]
Axonal sodium channel modulation leading to acute mortality,96,Sodium,[mesh:D012964]
Axonal sodium channel modulation leading to acute mortality,96,pyrethroid,[CHEBI:8811]
Juvenile hormone receptor agonism leading to male offspring induction associated population decline,201,methoprene,[mesh:D008726]
Juvenile hormone receptor agonism leading to male offspring induction associated population decline,201,methyl farnesoate,[mesh:C032429]
5-hydroxytryptamine transporter (5-HTT; SERT) inhibition leading to population decline,97,acetylcholine,[mesh:D000109]
5-hydroxytryptamine transporter (5-HTT; SERT) inhibition leading to population decline,97,Ca2+,[CHEBI:29108]
5-hydroxytryptamine transporter (5-HTT; SERT) inhibition leading to population decline,97,serotonin,[CHEBI:350546]
5-hydroxytryptamine transporter (5-HTT; SERT) inhibition leading to population decline,97,sertraline,[mesh:D020280]
5-hydroxytryptamine transporter (5-HTT; SERT) inhibition leading to population decline,97,fluoxetine,[mesh:D005473]
5-hydroxytryptamine transporter (5-HTT; SERT) inhibition leading to population decline,97,5-hydroxytryptamine,[mesh:D012701]
5-hydroxytryptamine transporter (5-HTT; SERT) inhibition leading to decreased shelter seeking and increased predation,98,5-hydroxytryptamine,[mesh:D012701]
5-hydroxytryptamine transporter inhibition leading to decreased reproductive success and population decline,203,serotonin,[CHEBI:350546]
5-hydroxytryptamine transporter inhibition leading to decreased reproductive success and population decline,203,fluoxetine,[mesh:D005473]
5-hydroxytryptamine transporter inhibition leading to decreased reproductive success and population decline,203,5-hydroxytryptamine,[mesh:D012701]
Histamine (H2) receptor antagonism leading to reduced survival,99,Histamine,[CHEBI:58432]
5-hydroxytryptamine transporter inhibition leading to increased reproductive success and population increase,204,serotonin,[CHEBI:350546]
5-hydroxytryptamine transporter inhibition leading to increased reproductive success and population increase,204,fluoxetine,[mesh:D005473]
5-hydroxytryptamine transporter inhibition leading to increased reproductive success and population increase,204,5-hydroxytryptamine,[mesh:D012701]
NADPH oxidase and P38 MAPK activation leading to reproductive failure in Caenorhabditis elegans,207,NADPH,[CHEBI:57783]
NADPH oxidase and P38 MAPK activation leading to reproductive failure in Caenorhabditis elegans,207,Oxygen,[mesh:D010100]
NADPH oxidase and P38 MAPK activation leading to reproductive failure in Caenorhabditis elegans,207,Silver,[mesh:D012834]
"Upregulation of Thyroid Hormone Catabolism via Activation of Hepatic Nuclear Receptors, and Subsequent Adverse Neurodevelopmental Outcomes in Mammals",8,polychlorinated biphenyls,[CHEBI:53156]
"Upregulation of Thyroid Hormone Catabolism via Activation of Hepatic Nuclear Receptors, and Subsequent Adverse Neurodevelopmental Outcomes in Mammals",8,PHAHs,[CHEBI:53387]
"Upregulation of Thyroid Hormone Catabolism via Activation of Hepatic Nuclear Receptors, and Subsequent Adverse Neurodevelopmental Outcomes in Mammals",8,PCB,[CHEBI:47136]
Percellome Toxicogenomics Approach for AOP Building: Case study on Pentachlorophenol,11,RO8191,[mesh:C000655265]
Percellome Toxicogenomics Approach for AOP Building: Case study on Pentachlorophenol,11,imiquimod,[mesh:D000077271]
Percellome Toxicogenomics Approach for AOP Building: Case study on Pentachlorophenol,11,PCP,[CHEBI:41473]
Percellome Toxicogenomics Approach for AOP Building: Case study on Pentachlorophenol,11,pentachlorophenol,[mesh:D010416]
Activation of c-Jun N-terminal kinase (JNK) and Forkhead box O (FOXO) and reduction of WNT pathways leading to reproductive failure: Integrated multi-OMICS approach for AOP building,210,N,[CHEBI:25555]
Activation of c-Jun N-terminal kinase (JNK) and Forkhead box O (FOXO) and reduction of WNT pathways leading to reproductive failure: Integrated multi-OMICS approach for AOP building,210,graphene oxide,[mesh:C000628730]
Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development leads to neurodegeneration with impairment in learning and memory in aging,12,Pb,[CHEBI:53319]
Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development leads to neurodegeneration with impairment in learning and memory in aging,12,N-methyl-D-aspartate,[mesh:D016202]
Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development induces impairment of learning and memory abilities,13,aspartate,[mesh:D001224]
Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development induces impairment of learning and memory abilities,13,N-methyl-D,[CHEBI:31882]
Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development induces impairment of learning and memory abilities,13,glutamate,[mesh:D018698]
Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development induces impairment of learning and memory abilities,13,Pb2+,[CHEBI:49807]
Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development induces impairment of learning and memory abilities,13,N-methyl-D-aspartate,[mesh:D016202]
Histone deacetylase inhibition leading to testicular atrophy,212,epoxides,[CHEBI:32955]
Histone deacetylase inhibition leading to testicular atrophy,212,short-chain fatty acids,[mesh:D005232]
Histone deacetylase inhibition leading to testicular atrophy,212,hydroxamic acids,[mesh:D006877]
Histone deacetylase inhibition leading to testicular atrophy,212,benzamides,[mesh:D001549]
Histone deacetylase inhibition leading to testicular atrophy,212,MAA,[CHEBI:35738]
Histone deacetylase inhibition leading to testicular atrophy,212,2-Methoxyacetic acid,[mesh:C013598]
Inhibition of pyruvate dehydrogenase kinase leading to hepatocellular adenomas and carcinomas (in mouse and rat),108,pyruvate,[mesh:D019289]
Inhibition of fatty acid beta oxidation leading to nonalcoholic steatohepatitis (NASH),213,sugars,[mesh:D000073893]
Inhibition of fatty acid beta oxidation leading to nonalcoholic steatohepatitis (NASH),213,fatty acid,[mesh:D005227]
Inhibition of fatty acid beta oxidation leading to nonalcoholic steatohepatitis (NASH),213,glucose,[CHEBI:42758]
Inhibition of fatty acid beta oxidation leading to nonalcoholic steatohepatitis (NASH),213,triglycerides,[mesh:D014280]
Alkylation of DNA in male pre-meiotic germ cells leading to heritable mutations,15,nucleotides,[mesh:D009711]
Alkylation of DNA in male pre-meiotic germ cells leading to heritable mutations,15,methyl,[CHEBI:32875]
Network of SSRIs (selective serotonin reuptake inhibitors),214,serotonin,[CHEBI:350546]
Inhibition of iodide pump activity leading to follicular cell adenomas and carcinomas (in rat and mouse),110,iodide,[mesh:D007454]
Binding of electrophilic chemicals to SH(thiol)-group of proteins and /or to seleno-proteins involved in protection against oxidative stress during brain development leads to impairment of learning and memory,17,sulfhydryl,[CHEBI:29917]
Binding of electrophilic chemicals to SH(thiol)-group of proteins and /or to seleno-proteins involved in protection against oxidative stress during brain development leads to impairment of learning and memory,17,glutamate,[mesh:D018698]
Binding of electrophilic chemicals to SH(thiol)-group of proteins and /or to seleno-proteins involved in protection against oxidative stress during brain development leads to impairment of learning and memory,17,SH,[CHEBI:73651]
Binding of electrophilic chemicals to SH(thiol)-group of proteins and /or to seleno-proteins involved in protection against oxidative stress during brain development leads to impairment of learning and memory,17,thiol,[mesh:D013438]
Binding of electrophilic chemicals to SH(thiol)-group of proteins and /or to seleno-proteins involved in protection against oxidative stress during brain development leads to impairment of learning and memory,17,seleno,[CHEBI:16503]
Binding of electrophilic chemicals to SH(thiol)-group of proteins and /or to seleno-proteins involved in protection against oxidative stress during brain development leads to impairment of learning and memory,17,Oxygen,[mesh:D010100]
Binding of electrophilic chemicals to SH(thiol)-group of proteins and /or to seleno-proteins involved in protection against oxidative stress during brain development leads to impairment of learning and memory,17,glutathione,[CHEBI:57925]
Binding of electrophilic chemicals to SH(thiol)-group of proteins and /or to seleno-proteins involved in protection against oxidative stress during brain development leads to impairment of learning and memory,17,mercury,[mesh:D008628]
Binding of electrophilic chemicals to SH(thiol)-group of proteins and /or to seleno-proteins involved in protection against oxidative stress during brain development leads to impairment of learning and memory,17,GSH,[mesh:D005978]
Decrease in androgen receptor activity leading to Leydig cell tumors (in rat),111,Androgen,[mesh:D000728]
PPARα activation in utero leading to impaired fertility in males,18,steroid,[mesh:D013256]
PPARα activation in utero leading to impaired fertility in males,18,cholesterol,[mesh:D002784]
Estrogen Receptor Activation and Female Precocious Puberty,146,Estrogen,[mesh:D004967]
Androgen receptor antagonism leading to adverse effects in the male foetus (mammals),19,phthalimide,[mesh:C037431]
Androgen receptor antagonism leading to adverse effects in the male foetus (mammals),19,anilides,[mesh:D000813]
Androgen receptor antagonism leading to adverse effects in the male foetus (mammals),19,quinoline,[mesh:C037219]
Androgen receptor antagonism leading to adverse effects in the male foetus (mammals),19,linuron,[mesh:D008044]
Androgen receptor antagonism leading to adverse effects in the male foetus (mammals),19,hydantoin,[CHEBI:27612]
Androgen receptor antagonism leading to adverse effects in the male foetus (mammals),19,nilutamide,[mesh:C021277]
Androgen receptor antagonism leading to adverse effects in the male foetus (mammals),19,vinclozin,[mesh:C025643]
Androgen receptor antagonism leading to adverse effects in the male foetus (mammals),19,bicalutamide,[mesh:C053541]
Androgen receptor antagonism leading to adverse effects in the male foetus (mammals),19,Androgen,[mesh:D000728]
Androgen receptor antagonism leading to adverse effects in the male foetus (mammals),19,5-alpha-dihydrotestosterone,[mesh:D013196]
Androgen receptor antagonism leading to adverse effects in the male foetus (mammals),19,aryl amide,[CHEBI:62733]
Androgen receptor antagonism leading to adverse effects in the male foetus (mammals),19,testosterone,[mesh:D013739]
Androgen receptor antagonism leading to adverse effects in the male foetus (mammals),19,flutamide,[mesh:D005485]
Androgen receptor antagonism leading to adverse effects in the male foetus (mammals),19,cyproterone acetate,[mesh:D017373]
Androgen receptor antagonism leading to adverse effects in the male foetus (mammals),19,steroid,[mesh:D013256]
Androgen receptor antagonism leading to adverse effects in the male foetus (mammals),19,metribolone,[mesh:D015741]
Androgen receptor antagonism leading to adverse effects in the male foetus (mammals),19,mibolerone,[mesh:C100075]
Inhibition of CYP7B activity leads to decreased reproductive success via decreased locomotor activity,218,7-hydroxypregnenolone,[mesh:C495856]
Inhibition of CYP7B activity leads to decreased reproductive success via decreased locomotor activity,218,azole,[CHEBI:19203]
Inhibition of CYP7B activity leads to decreased reproductive success via decreased locomotor activity,218,heme,[mesh:D006418]
Inhibition of CYP7B activity leads to decreased reproductive success via decreased locomotor activity,218,dopamine,[mesh:D004298]
Inhibition of CYP7B activity leads to decreased reproductive success via decreased locomotor activity,218,pregnenolone,[mesh:D011284]
Androgen receptor agonism leading to reproductive dysfunction (in repeat-spawning fish),23,Androgen,[mesh:D000728]
Inhibition of CYP7B activity leads to decreased reproductive success via decreased sexual behavior,219,7-hydroxypregnenolone,[mesh:C495856]
Inhibition of CYP7B activity leads to decreased reproductive success via decreased sexual behavior,219,azole,[CHEBI:19203]
Inhibition of CYP7B activity leads to decreased reproductive success via decreased sexual behavior,219,heme,[mesh:D006418]
Inhibition of CYP7B activity leads to decreased reproductive success via decreased sexual behavior,219,dopamine,[mesh:D004298]
Inhibition of CYP7B activity leads to decreased reproductive success via decreased sexual behavior,219,pregnenolone,[mesh:D011284]
Peptide Oxidation Leading to Hypertension,149,amino acids,[mesh:D000596]
Peptide Oxidation Leading to Hypertension,149,GTPCH,[mesh:C046512]
Peptide Oxidation Leading to Hypertension,149,guanosine,[mesh:D006151]
Peptide Oxidation Leading to Hypertension,149,GSSG,[mesh:D019803]
Peptide Oxidation Leading to Hypertension,149,superoxide,[mesh:D013481]
Peptide Oxidation Leading to Hypertension,149,tetrahydrobiopterin,[mesh:C003402]
Peptide Oxidation Leading to Hypertension,149,BH4,[CHEBI:30158]
Peptide Oxidation Leading to Hypertension,149,glutathione,[CHEBI:57925]
Peptide Oxidation Leading to Hypertension,149,nicotine,[mesh:D009538]
Peptide Oxidation Leading to Hypertension,149,nitric oxide,[mesh:D009569]
Peptide Oxidation Leading to Hypertension,149,GSH,[mesh:D005978]
Calcium-mediated neuronal ROS production and energy imbalance,26,Calcium,[mesh:D002118]
Androgen receptor activation leading to hepatocellular adenomas and carcinomas (in mouse and rat),117,Androgen,[mesh:D000728]
Cholestatic Liver Injury induced by Inhibition of the Bile Salt Export Pump (ABCB11),27,Bile Salt,[mesh:D001647]
Serotonin transporter activation to seizure,223,serotonin,[CHEBI:350546]
Serotonin transporter activation to depression,224,serotonin,[CHEBI:350546]
Estrogen receptor agonism leading to reproductive dysfunction,29,Estrogen,[mesh:D004967]
Serotonin transporter activation to agitation,225,serotonin,[CHEBI:350546]
Estrogen receptor antagonism leading to reproductive dysfunction,30,Estrogen,[mesh:D004967]
SSRI (Selective serotonin reuptake inhibitor) to hypertension,226,serotonin,[CHEBI:350546]
Oxidation of iron in hemoglobin leading to hematotoxicity,31,NADPH,[CHEBI:57783]
Oxidation of iron in hemoglobin leading to hematotoxicity,31,iron,[mesh:D007501]
Oxidation of iron in hemoglobin leading to hematotoxicity,31,aniline,[mesh:C023650]
Oxidation of iron in hemoglobin leading to hematotoxicity,31,Iron(II),[CHEBI:29033]
Oxidation of iron in hemoglobin leading to hematotoxicity,31,heme,[mesh:D006418]
Oxidation of iron in hemoglobin leading to hematotoxicity,31,"2,4-",[CHEBI:30772]
Oxidation of iron in hemoglobin leading to hematotoxicity,31,dinitrotoluene,[CHEBI:23822]
Oxidation of iron in hemoglobin leading to hematotoxicity,31,"2,4-DNT",[CHEBI:920]
Oxidation of iron in hemoglobin leading to hematotoxicity,31,N-hydroxyl anilines,[mesh:D000627]
Oxidation of iron in hemoglobin leading to hematotoxicity,31,Iron(III),[CHEBI:29034]
Oxidation of iron in hemoglobin leading to hematotoxicity,31,"2,4,6-trinitrotoluene",[mesh:D014303]
Oxidation of iron in hemoglobin leading to hematotoxicity,31,glutathione,[CHEBI:57925]
Oxidation of iron in hemoglobin leading to hematotoxicity,31,Glucose-6-phosphate,[mesh:D019298]
Prolyl hydroxylase inhibition leading to reproductive dysfunction via increased HIF1 heterodimer formation,122,Prolyl,[CHEBI:26274]
Interference with thyroid serum binding protein transthyretin and subsequent adverse human neurodevelopmental toxicity,152,thyroxine (T4,[mesh:D013974]
LXR activation leading to hepatic steatosis,34,fatty acid,[mesh:D005227]
LXR activation leading to hepatic steatosis,34,triglycerides,[mesh:D014280]
LXR activation leading to hepatic steatosis,34,carbohydrate,[mesh:D002241]
LXR activation leading to hepatic steatosis,34,sterol,[mesh:D013261]
LXR activation leading to hepatic steatosis,34,stearoyl-CoA,[mesh:C017725]
Glutamate-gated chloride channel activation leading to acute mortality,113,lactones,[mesh:D007783]
Glutamate-gated chloride channel activation leading to acute mortality,113,glutamate,[mesh:D018698]
Glutamate-gated chloride channel activation leading to acute mortality,113,abermectin,[CHEBI:73285]
Glutamate-gated chloride channel activation leading to acute mortality,113,ivermectin,[mesh:D007559]
Glutamate-gated chloride channel activation leading to acute mortality,113,lactone,[mesh:D014307]
Glutamate-gated chloride channel activation leading to acute mortality,113,acetylcholine,[mesh:D000109]
Glutamate-gated chloride channel activation leading to acute mortality,113,Cys,[CHEBI:32447]
Glutamate-gated chloride channel activation leading to acute mortality,113,dopamine,[mesh:D004298]
Glutamate-gated chloride channel activation leading to acute mortality,113,GABA,[mesh:D005680]
Glutamate-gated chloride channel activation leading to acute mortality,113,chloride,[CHEBI:15767]
Glutamate-gated chloride channel activation leading to acute mortality,113,serotonin,[CHEBI:350546]
Glutamate-gated chloride channel activation leading to acute mortality,113,GluCl,[mesh:D005913]
Glutamate-gated chloride channel activation leading to acute mortality,113,Abamectin,[mesh:C048324]
Glutamate-gated chloride channel activation leading to acute mortality,113,Histamine,[CHEBI:58432]
HMG-CoA reductase inhibition leading to decreased fertility,124,statins,[mesh:C086276]
HMG-CoA reductase inhibition leading to decreased fertility,124,HMG-CoA,[mesh:C008047]
HMG-CoA reductase inhibition leading to decreased fertility,124,cholesteron,[CHEBI:63906]
HMG-CoA reductase inhibition leading to decreased fertility,124,testosterone,[mesh:D013739]
Thyroperoxidase inhibition leading to increased mortality via reduced anterior swim bladder inflation,159,iodide,[mesh:D007454]
Thyroperoxidase inhibition leading to increased mortality via reduced anterior swim bladder inflation,159,thyroxine (T4,[mesh:D013974]
Thyroperoxidase inhibition leading to increased mortality via reduced anterior swim bladder inflation,159,triiodothyronine,[mesh:D014284]
Thyroperoxidase inhibition leading to increased mortality via reduced anterior swim bladder inflation,159,hydrogen peroxide,[mesh:D006861]
Ionotropic gamma-aminobutyric acid receptor activation mediated neurotransmission inhibition leading to mortality,160,GABA,[mesh:D005680]
Peroxisomal Fatty Acid Beta-Oxidation Inhibition Leading to Steatosis,36,fatty acid,[mesh:D005227]
S-adenosylmethionine depletion leading to population decline (2),343,S-adenosylmethionine,[CHEBI:67040]
Glutamate-gated chloride channel activation leading to neurotransmission inhibition associated mortality,161,glutamate,[mesh:D018698]
Glutamate-gated chloride channel activation leading to neurotransmission inhibition associated mortality,161,chloride,[CHEBI:15767]
PPARα activation leading to hepatocellular adenomas and carcinomas in rodents,37,fatty acid,[mesh:D005227]
PPARα activation leading to hepatocellular adenomas and carcinomas in rodents,37,DEHP,[mesh:D004051]
PPARα activation leading to hepatocellular adenomas and carcinomas in rodents,37,gemfibrozil,[mesh:D015248]
PPARα activation leading to hepatocellular adenomas and carcinomas in rodents,37,9-cis-retinoic acid,[mesh:D000077556]
PPARα activation leading to hepatocellular adenomas and carcinomas in rodents,37,phthalate ester,[CHEBI:35484]
Mu Opioid Receptor Agonism leading to Analgesia via K Channel Opening,233,K+,[CHEBI:29103]
Mu Opioid Receptor Agonism leading to Analgesia via Ca Channel Inhibition,234,Ca,[CHEBI:39099]
Mu Opioid Receptor Agonism leading to Analgesia via Ca Channel Inhibition,234,Ca2+,[CHEBI:29108]
Sodium Iodide Symporter (NIS) Inhibition and Subsequent Adverse Neurodevelopmental Outcomes in Mammals,134,iodine,[mesh:D007455]
Sodium Iodide Symporter (NIS) Inhibition and Subsequent Adverse Neurodevelopmental Outcomes in Mammals,134,Sodium Iodide,[mesh:D012974]
Sodium Iodide Symporter (NIS) Inhibition and Subsequent Adverse Neurodevelopmental Outcomes in Mammals,134,sodium iodine,[CHEBI:33167]
Covalent Protein binding leading to Skin Sensitisation,40,lysine,[mesh:D008239]
Covalent Protein binding leading to Skin Sensitisation,40,cysteine,[mesh:D003545]
Serotonin 1A Receptor Agonism leading to Anti-depressant Activity via K Channel Opening,235,K+,[CHEBI:29103]
Serotonin 1A Receptor Agonism leading to Anti-depressant Activity via K Channel Opening,235,serotonin,[CHEBI:350546]
Antiestrogen activity leading to ovarian adenomas and granular cell tumors in the mouse,165,Antiestrogens,[mesh:D020847]
Sustained AhR Activation leading to Rodent Liver Tumours,41,dioxin,[mesh:D004147]
Sustained AhR Activation leading to Rodent Liver Tumours,41,indole-3-carbinol,[mesh:C016517]
Sustained AhR Activation leading to Rodent Liver Tumours,41,DLCs,[CHEBI:73430]
Sustained AhR Activation leading to Rodent Liver Tumours,41,aryl hydrocarbon,[mesh:D006841]
Inhibition of Thyroperoxidase and Subsequent Adverse Neurodevelopmental Outcomes in Mammals,42,propylthiouracil,[mesh:D011441]
Early-life estrogen receptor activity leading to endometrial carcinoma in the mouse.,167,Estrogen,[mesh:D004967]
Inhibition of Calcineurin Activity Leading to Impaired T-Cell Dependent Antibody Response,154,FK506,[mesh:D016559]
Inhibition of Calcineurin Activity Leading to Impaired T-Cell Dependent Antibody Response,154,CsA,[CHEBI:55379]
"Binding of agonists to ionotropic glutamate receptors in adult brain causes excitotoxicity that mediates neuronal cell death, contributing to learning and memory impairment.",48,domoic acid,[mesh:C012301]
"Binding of agonists to ionotropic glutamate receptors in adult brain causes excitotoxicity that mediates neuronal cell death, contributing to learning and memory impairment.",48,glufosinate,[mesh:C003121]
"Binding of agonists to ionotropic glutamate receptors in adult brain causes excitotoxicity that mediates neuronal cell death, contributing to learning and memory impairment.",48,methylphosphine,[CHEBI:35887]
"Binding of agonists to ionotropic glutamate receptors in adult brain causes excitotoxicity that mediates neuronal cell death, contributing to learning and memory impairment.",48,aspartate,[mesh:D001224]
"Binding of agonists to ionotropic glutamate receptors in adult brain causes excitotoxicity that mediates neuronal cell death, contributing to learning and memory impairment.",48,glutamate,[mesh:D018698]
"Binding of agonists to ionotropic glutamate receptors in adult brain causes excitotoxicity that mediates neuronal cell death, contributing to learning and memory impairment.",48,amino acids,[mesh:D000596]
